SalesPerson,Order Amount,Order Date,OrderID
Nagheenanajar,$966.80 ,1/21/2004,10411
Nagheenanajar,"$1,505.18 ",4/4/2004,10475
Nagheenanajar,$149.00 ,4/16/2004,10501
Nagheenanajar,$415.80 ,5/2/2004,10506
Nagheenanajar,$139.80 ,5/16/2004,10538
Nagheenanajar,"$1,152.50 ",6/6/2004,10557
Nagheenanajar,"$1,761.00 ",6/18/2004,10566
Nagheenanajar,$569.00 ,6/30/2004,10577
Nagheenanajar,$23.80 ,7/9/2004,10586
Nagheenanajar,"$1,446.00 ",9/3/2004,10646
Nagheenanajar,"$3,815.25 ",9/26/2004,10672
Nagheenanajar,"$4,960.90 ",10/30/2004,10687
Nagheenanajar,$378.00 ,11/18/2004,10705
Nagheenanajar,$997.00 ,11/21/2004,10736
Nagheenanajar,"$4,529.80 ",11/27/2004,10745
Nagheenanajar,"$1,590.56 ",11/24/2004,10750
Nagheenanajar,$12.50 ,12/22/2004,10782
Nagheenanajar,$344.00 ,1/2/2004,10771
