SalesPerson,Order Amount,Order Date,OrderID
Bolton,"$2,783.04 ",1/3/2004,10393
Bolton,"$1,140.14 ",1/3/2004,10394
Bolton,"$1,674.10 ",1/6/2004,10396
Bolton,"$2,192.95 ",1/16/2004,10400
Bolton,$116.43 ,1/10/2004,10401
Bolton,$718.57 ,1/22/2004,10405
Bolton,"$1,729.00 ",2/26/2004,10453
Bolton,"$4,045.63 ",3/5/2004,10461
Bolton,"$2,867.30 ",3/14/2004,10465
Bolton,"$3,642.40 ",3/14/2004,10469
Bolton,"$1,211.52 ",3/21/2004,10473
Bolton,$890.69 ,4/10/2004,10482
Bolton,"$3,735.13 ",4/2/2004,10486
Bolton,"$1,336.32 ",5/13/2004,10508
Bolton,"$3,845.21 ",5/7/2004,10524
Bolton,"$1,597.28 ",5/23/2004,10525
Bolton,"$3,535.37 ",5/19/2004,10537
Bolton,"$1,413.16 ",5/26/2004,10542
Bolton,"$1,793.80 ",5/27/2004,10546
